Make,Engine_Size_L,Fuel_Type,Fuel_Consumption_L_100km,CO2_Emissions_g_km
Mitsubishi,1.3,Petrol,3.6,79
Mazda,3.6,Petrol,10.9,244
Hyundai,2.4,Petrol,7.0,171
Mitsubishi,3.1,Petrol,7.2,158
Holden,4.6,Diesel,8.5,198
Nissan,2.1,Hybrid,3.4,74
Hyundai,2.8,Petrol,5.7,137
Hyundai,4.1,Petrol,12.1,284
Mitsubishi,2.1,Diesel,5.1,129
Ford,1.5,Petrol,3.3,71
Holden,2.3,Petrol,4.0,90
Mitsubishi,1.8,Petrol,5.9,127
Holden,4.7,Petrol,11.6,265
Holden,4.3,Hybrid,7.2,171
Nissan,3.6,Diesel,5.9,144
Hyundai,4.5,Petrol,10.7,239
Mazda,4.3,Petrol,10.8,259
Nissan,1.9,Petrol,4.8,125
Nissan,4.6,Petrol,11.0,259
Holden,3.2,Petrol,8.6,218
Kia,4.3,Petrol,9.7,217
Hyundai,4.6,Diesel,9.1,199
Ford,2.4,Petrol,6.1,124
Nissan,1.6,Petrol,4.5,119
Mazda,2.1,Hybrid,3.6,90
Kia,2.8,Diesel,4.7,108
Kia,4.3,Petrol,9.2,216
Ford,4.5,Petrol,12.5,279
Nissan,1.2,Petrol,3.3,101
Mazda,3.1,Petrol,7.0,164
Hyundai,2.8,Petrol,8.6,201
Toyota,2.0,Diesel,4.1,102
Mazda,1.7,Petrol,5.4,130
Ford,2.5,Petrol,6.3,148
Kia,4.8,Petrol,14.1,319
Hyundai,2.4,Petrol,7.8,186
Mazda,3.2,Diesel,6.2,163
Toyota,3.9,Diesel,8.6,213
Toyota,2.6,Petrol,7.1,181
Holden,4.9,Petrol,13.6,310
Holden,4.9,Petrol,11.3,252
Mitsubishi,2.2,Petrol,6.2,143
Ford,3.1,Petrol,8.8,205
Nissan,2.3,Petrol,4.0,104
Mazda,2.3,Petrol,4.6,90
Mazda,1.3,Petrol,1.2,43
Nissan,3.5,Petrol,8.5,196
Mitsubishi,3.1,Petrol,8.5,193
Kia,1.4,Petrol,5.0,106
Kia,2.3,Petrol,5.8,118
Mitsubishi,4.7,Petrol,13.4,319
Kia,2.1,Diesel,3.1,73
Holden,1.8,Petrol,2.8,52
Mazda,3.1,Petrol,7.7,166
Mitsubishi,4.9,Petrol,12.6,289
Mazda,2.1,Petrol,5.2,137
Nissan,3.8,Petrol,7.4,169
Toyota,4.1,Petrol,10.2,222
Holden,2.1,Hybrid,2.4,53
Hyundai,4.0,Petrol,10.7,246
Holden,2.6,Petrol,6.9,133
Mitsubishi,3.6,Petrol,8.1,187
Hyundai,3.6,Petrol,8.5,195
Toyota,3.2,Petrol,6.9,167
Mitsubishi,1.5,Hybrid,2.2,70
Ford,4.4,Petrol,12.0,290
Mazda,2.4,Hybrid,3.0,67
Toyota,1.9,Hybrid,3.2,63
Mazda,1.4,Petrol,3.0,95
Kia,3.4,Petrol,7.7,179
Ford,3.8,Petrol,9.4,218
Ford,1.3,Petrol,2.2,51
Toyota,3.1,Petrol,7.2,169
Ford,2.1,Petrol,4.1,94
Hyundai,3.7,Petrol,11.2,254
Ford,1.9,Petrol,4.8,106
Mazda,3.8,Diesel,7.0,162
Mazda,2.7,Petrol,7.0,157
Mitsubishi,4.8,Diesel,9.5,213
Mazda,1.7,Petrol,4.0,94
Mitsubishi,2.5,Petrol,6.9,158
Mazda,1.6,Petrol,4.8,126
Hyundai,4.7,Petrol,11.2,233
Nissan,4.5,Diesel,8.5,208
Mitsubishi,2.2,Diesel,4.2,110
Holden,3.7,Diesel,5.6,109
Kia,4.3,Petrol,9.2,210
Toyota,3.3,Petrol,9.6,219
Mazda,3.2,Diesel,7.7,165
Ford,2.1,Diesel,4.0,85
Nissan,1.6,Hybrid,2.7,52
Mazda,4.6,Petrol,11.8,291
Ford,4.6,Petrol,14.6,348
Kia,3.6,Diesel,8.1,201
Kia,2.5,Petrol,6.1,149
Kia,2.5,Hybrid,3.2,63
Ford,4.0,Diesel,6.7,150
Mazda,4.6,Petrol,11.7,276
Kia,4.6,Diesel,8.6,187
Hyundai,4.2,Diesel,7.3,176
Mitsubishi,3.6,Petrol,8.4,192
Ford,1.5,Hybrid,1.6,33
Ford,1.8,Petrol,6.2,151
Mazda,4.6,Diesel,9.9,234
Ford,3.5,Petrol,8.7,198
Ford,1.2,Diesel,3.6,95
Kia,1.6,Petrol,4.1,84
Mazda,3.7,Petrol,8.4,201
Kia,1.2,Hybrid,2.7,69
Mitsubishi,1.8,Petrol,5.0,113
Nissan,3.3,Petrol,7.2,170
Mitsubishi,3.8,Hybrid,5.6,117
Nissan,3.7,Hybrid,5.0,125
Kia,2.1,Petrol,3.9,89
Mitsubishi,3.9,Petrol,10.7,243
Mazda,2.1,Petrol,7.2,178
Toyota,2.4,Petrol,4.6,100
Kia,4.0,Petrol,10.6,232
Nissan,3.7,Petrol,8.6,184
Hyundai,4.4,Diesel,8.4,201
Nissan,3.7,Diesel,6.9,147
Hyundai,3.4,Diesel,6.1,159
Ford,1.6,Petrol,4.0,72
Mitsubishi,2.6,Petrol,5.7,149
Hyundai,2.2,Petrol,5.8,137
Nissan,2.1,Petrol,5.2,120
Ford,4.9,Petrol,12.0,273
Toyota,2.7,Diesel,4.7,113
Mazda,4.6,Petrol,10.9,253
Mazda,3.6,Petrol,9.8,238
Mazda,4.2,Petrol,11.0,256
Hyundai,3.1,Diesel,5.4,127
Toyota,3.4,Petrol,8.6,196
Hyundai,3.1,Petrol,8.5,197
Mitsubishi,1.9,Petrol,3.1,75
Hyundai,3.9,Diesel,8.2,173
Toyota,2.3,Petrol,5.1,105
Toyota,1.3,Diesel,3.1,79
Mitsubishi,3.7,Diesel,6.8,159
Toyota,1.9,Petrol,2.9,65
Nissan,4.8,Petrol,10.4,241
Toyota,4.8,Hybrid,7.2,171
Mazda,4.7,Petrol,12.0,273
Nissan,2.6,Petrol,5.6,122
Nissan,1.3,Diesel,3.1,74
Mitsubishi,4.7,Hybrid,6.1,132
Holden,2.8,Hybrid,4.2,102
Holden,4.9,Diesel,8.8,187
Toyota,4.9,Petrol,11.6,279
Nissan,4.4,Petrol,11.0,260
Holden,2.3,Diesel,3.9,93
Holden,2.7,Petrol,6.4,158
Toyota,4.4,Petrol,12.0,295
Holden,2.4,Hybrid,3.3,87
Hyundai,1.8,Petrol,5.3,105
Ford,3.3,Petrol,7.1,152
Mitsubishi,4.8,Petrol,12.5,284
Ford,3.8,Petrol,10.9,253
Toyota,3.4,Petrol,6.0,144
Mazda,1.6,Petrol,3.2,67
Mitsubishi,3.5,Petrol,9.3,218
Toyota,5.0,Petrol,12.3,278
Nissan,1.7,Diesel,3.7,80
Mazda,3.2,Petrol,7.4,158
Ford,4.5,Hybrid,6.8,149
Toyota,4.0,Petrol,9.8,214
Nissan,3.8,Petrol,10.7,238
Mitsubishi,3.9,Diesel,8.0,196
Mitsubishi,2.6,Petrol,6.8,148
Kia,2.3,Hybrid,3.2,101
Nissan,4.3,Petrol,10.3,244
Hyundai,4.3,Hybrid,6.2,146
Holden,4.5,Petrol,11.6,261
Mazda,4.7,Diesel,9.1,218
Nissan,3.1,Petrol,8.0,180
Kia,3.1,Hybrid,5.9,138
Holden,4.2,Petrol,11.4,290
Holden,3.7,Petrol,8.9,206
Toyota,3.9,Hybrid,6.6,165
Holden,4.2,Petrol,10.1,227
Hyundai,4.6,Petrol,9.5,220
Mitsubishi,2.5,Petrol,5.2,138
Kia,2.6,Petrol,4.6,100
Holden,1.6,Petrol,3.6,102
Toyota,3.4,Petrol,8.5,204
Hyundai,1.3,Hybrid,3.0,64
Ford,3.0,Petrol,7.8,187
Mitsubishi,3.3,Petrol,8.0,195
Mitsubishi,2.3,Hybrid,3.9,97
Kia,3.4,Diesel,5.0,100
Mitsubishi,1.3,Petrol,3.5,74
Holden,1.3,Petrol,4.0,90
Toyota,4.3,Petrol,9.3,215
Mitsubishi,2.6,Petrol,7.6,183
Mitsubishi,1.7,Petrol,4.6,108
Ford,3.2,Petrol,7.6,163
Ford,4.1,Petrol,10.9,257
Mazda,2.0,Petrol,7.3,175
Hyundai,3.6,Hybrid,5.5,133
Holden,1.5,Hybrid,2.4,66
